date,campaign_id,channel,spend,impressions,clicks,conversions,revenue,roas
2026-01-01 00:00:00,CMP-00000,Display,264.0,21153,305,14,700.0,2.652
2026-01-01 01:00:00,CMP-00001,Social,236.0,35210,774,23,1312.0,5.559
2026-01-01 02:00:00,CMP-00002,Affiliate,345.0,40565,567,31,1544.0,4.475
2026-01-01 03:00:00,CMP-00003,Display,334.0,43033,541,40,2741.0,8.207
2026-01-01 04:00:00,CMP-00004,Search,420.0,41727,2119,139,7258.0,17.281
2026-01-01 05:00:00,CMP-00005,Affiliate,608.0,41073,303,16,893.0,1.469
2026-01-01 06:00:00,CMP-00006,Display,455.0,70150,424,22,1082.0,2.378
2026-01-01 07:00:00,CMP-00007,Display,704.0,57100,501,17,1162.0,1.651
2026-01-01 08:00:00,CMP-00008,Search,404.0,25709,1000,87,4466.0,11.054
2026-01-01 09:00:00,CMP-00009,Social,1036.0,127425,2512,162,11246.0,10.855
2026-01-01 10:00:00,CMP-00010,Social,695.0,48067,1307,68,4671.0,6.721
2026-01-01 11:00:00,CMP-00011,Affiliate,533.0,37594,475,29,1553.0,2.914
2026-01-01 12:00:00,CMP-00012,Social,609.0,90157,2110,79,4605.0,7.562
2026-01-01 13:00:00,CMP-00013,Display,350.0,39926,436,27,1438.0,4.109
2026-01-01 14:00:00,CMP-00014,Social,417.0,36097,769,59,3744.0,8.978
2026-01-01 15:00:00,CMP-00015,Search,408.0,40126,2098,129,7231.0,17.723
2026-01-01 16:00:00,CMP-00016,Social,310.0,43467,945,52,2799.0,9.029
2026-01-01 17:00:00,CMP-00017,Search,212.0,14267,564,18,1052.0,4.962
2026-01-01 18:00:00,CMP-00018,Display,626.0,45580,687,35,1476.0,2.358
2026-01-01 19:00:00,CMP-00019,Social,760.0,97119,2318,129,7384.0,9.716
2026-01-01 20:00:00,CMP-00020,Display,581.0,73651,1462,107,6901.0,11.878
2026-01-01 21:00:00,CMP-00021,Social,454.0,75804,1747,96,5701.0,12.557
2026-01-01 22:00:00,CMP-00022,Affiliate,1268.0,128322,1962,82,5536.0,4.366
2026-01-01 23:00:00,CMP-00023,Affiliate,329.0,22095,350,20,1085.0,3.298
2026-01-02 00:00:00,CMP-00024,Display,542.0,64567,622,34,1816.0,3.351
2026-01-02 01:00:00,CMP-00025,Search,814.0,105997,4449,184,8616.0,10.585
2026-01-02 02:00:00,CMP-00026,Social,250.0,18839,490,30,1618.0,6.472
2026-01-02 03:00:00,CMP-00027,Search,650.0,78529,3766,261,20269.0,31.183
2026-01-02 04:00:00,CMP-00028,Search,1070.0,87477,3486,212,12880.0,12.037
2026-01-02 05:00:00,CMP-00029,Display,474.0,72484,568,27,1408.0,2.97
2026-01-02 06:00:00,CMP-00030,Display,517.0,78515,150,6,288.0,0.557
2026-01-02 07:00:00,CMP-00031,Affiliate,330.0,35395,482,14,588.0,1.782
2026-01-02 08:00:00,CMP-00032,Search,605.0,100636,4381,207,10287.0,17.003
2026-01-02 09:00:00,CMP-00033,Social,306.0,51339,1272,67,4395.0,14.363
2026-01-02 10:00:00,CMP-00034,Social,460.0,34140,634,27,1451.0,3.154
2026-01-02 11:00:00,CMP-00035,Search,196.0,19687,797,49,2372.0,12.102
2026-01-02 12:00:00,CMP-00036,Search,78.0,9830,443,22,1089.0,13.962
2026-01-02 13:00:00,CMP-00037,Social,367.0,25444,573,19,1225.0,3.338
2026-01-02 14:00:00,CMP-00038,Search,364.0,37161,1771,58,3317.0,9.113
2026-01-02 15:00:00,CMP-00039,Display,385.0,34160,488,23,1190.0,3.091
2026-01-02 16:00:00,CMP-00040,Social,685.0,112836,3726,307,16859.0,24.612
2026-01-02 17:00:00,CMP-00041,Display,770.0,81061,931,58,4643.0,6.03
2026-01-02 18:00:00,CMP-00042,Display,554.0,79717,1316,85,5967.0,10.771
2026-01-02 19:00:00,CMP-00043,Search,661.0,67777,2836,172,12502.0,18.914
2026-01-02 20:00:00,CMP-00044,Display,311.0,23169,127,7,283.0,0.91
2026-01-02 21:00:00,CMP-00045,Display,270.0,41835,465,17,960.0,3.556
2026-01-02 22:00:00,CMP-00046,Social,612.0,36748,683,35,1804.0,2.948
2026-01-02 23:00:00,CMP-00047,Search,248.0,16406,717,44,2791.0,11.254
2026-01-03 00:00:00,CMP-00048,Display,232.0,23219,191,5,343.0,1.478
2026-01-03 01:00:00,CMP-00049,Search,1600.0,216894,8135,581,35595.0,22.247
2026-01-03 02:00:00,CMP-00050,Search,490.0,47817,2579,149,7342.0,14.984
2026-01-03 03:00:00,CMP-00051,Search,364.0,24495,1009,72,3700.0,10.165
2026-01-03 04:00:00,CMP-00052,Display,342.0,32477,182,8,514.0,1.503
2026-01-03 05:00:00,CMP-00053,Display,200.0,17389,259,22,1434.0,7.17
2026-01-03 06:00:00,CMP-00054,Display,548.0,33206,286,14,832.0,1.518
2026-01-03 07:00:00,CMP-00055,Display,404.0,48006,770,43,2550.0,6.312
2026-01-03 08:00:00,CMP-00056,Social,759.0,55278,1216,93,5441.0,7.169
2026-01-03 09:00:00,CMP-00057,Social,621.0,56898,1312,62,3763.0,6.06
2026-01-03 10:00:00,CMP-00058,Search,396.0,51690,2335,164,10686.0,26.985
2026-01-03 11:00:00,CMP-00059,Search,134.0,18728,881,49,3151.0,23.515
2026-01-03 12:00:00,CMP-00060,Display,491.0,43689,663,30,1747.0,3.558
2026-01-03 13:00:00,CMP-00061,Social,468.0,45026,1137,48,2760.0,5.897
2026-01-03 14:00:00,CMP-00062,Social,116.0,10110,275,16,914.0,7.879
